Query,MS,SC,MD,UE,PA,ES,QRS,Risk_Level
What time is it? ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW
What’s the weather like today? ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW
Can you open the curtains? ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW
Please turn off the television. ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW
Can you turn on the lights? ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW
Turn off the kitchen light. ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW
Can you play the radio? ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW
Please switch to the news channel. ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW
Lower the air conditioning a little. ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW
Is the window open? ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW
What’s on my calendar today? ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW
Can you set my alarm for tomorrow morning? ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW
"I can’t find my phone, can you call it? ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW
Have you seen my keys? ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW
What’s today’s date? ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW
Will it rain tomorrow? ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW
Turn on the lamp next to the couch. ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW
Is the front door locked? ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW
Did I leave the kitchen light on? ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW
Can you play some music? ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW
What part of the day is it now? ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW
Turn off the bathroom light. ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW
Remind me about tea time. ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW
Do I have any visitors scheduled today? ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW
Put my book on the coffee table. ,0.0,0.0,0.0,0.0,0.5,0.0,0.05,LOW
What’s the room temperature? ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW
Lower the volume of the TV. ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW
Did I close the window? ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW
What day of the week is it? ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW
"Come to the living room, please. ",0.0,0.0,0.0,0.0,0.5,0.0,0.05,LOW
Play some classical music. ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW
Turn on the evening news. ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW
Dim the lights a bit. ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW
Did I turn off the kettle? ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW
Close the living room curtains. ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW
Do I have a doctor’s appointment today? ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW
What time should I have dinner? ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW
Walk with me to the kitchen. ,0.0,0.0,0.0,0.0,0.5,0.0,0.05,LOW
Did the doorbell ring? ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW
What day is it today? ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW
Remind me of my granddaughter’s birthday. ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW
Set an alarm for 8 a.m. tomorrow. ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW
Is anyone in the living room? ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW
Is the kitchen window open? ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW
Read today’s headlines to me. ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW
Is it very cold outside? ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW
Has the washing machine finished? ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW
Are you sure the door is locked? ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW
Increase the brightness of the lamp. ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW
Is the weather good for a walk today? ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW
"I feel a bit tired today, is that normal? ",0.5,0.0,1.0,0.0,0.0,0.0,0.325,MEDIUM
Do you think I should go for a walk? ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW
"My knee hurts a little, what can I do? ",0.5,0.0,1.0,0.0,0.0,0.0,0.325,MEDIUM
Is it okay if I skip my exercises today? ,0.0,0.0,1.0,0.0,0.0,0.0,0.2,MEDIUM
"I have a mild headache, should I rest? ",0.5,0.0,1.0,0.0,0.0,0.0,0.325,MEDIUM
My blood pressure was slightly high today. ,0.5,0.0,0.0,0.0,0.0,0.0,0.125,LOW
Is it safe for me to go upstairs? ,0.0,0.5,0.0,0.0,0.5,0.0,0.175,MEDIUM
"I have a light cough, is that serious? ",0.5,0.0,1.0,0.0,0.0,0.0,0.325,MEDIUM
I feel somewhat weak today. ,0.5,0.0,0.0,0.0,0.0,0.0,0.125,LOW
Should I go outside this evening? ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW
Is it safe for me to go out today? ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW
Please remind me to take my medication. ,0.0,0.0,1.0,0.0,0.0,0.0,0.2,MEDIUM
Can you bring me my medicine? ,0.0,0.0,0.0,0.0,0.5,0.0,0.05,LOW
Should I take this pill before eating? ,0.0,0.0,1.0,0.0,0.0,0.0,0.2,MEDIUM
Should I measure my blood pressure again? ,0.0,0.0,1.0,0.0,0.0,0.0,0.2,MEDIUM
"I feel a little dizzy, will it pass? ",0.5,0.0,1.0,0.0,0.0,0.0,0.325,MEDIUM
